Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
242897,Hildegard of Bingen: Scivias,Hildegard von Bingen,"Bingen, Hildegard von","Columbus Hart, Jane Bishop, Columba Hart","=""""","=""""",3,4.00,Paulist Press,Paperback,576,1990,1152,2023/10/25,2023/10/20,,,read,,,,1,0
592496,English as She Is Spoke,José da Fonseca,"Fonseca, José da","Pedro Carolino, Paul                   Collins","=""1932416110""","=""9781932416114""",0,3.91,McSweeney's,Paperback,133,2004,1855,,2023/10/19,to-read,to-read (#18),to-read,,,,0,0
21567404,What Is It Like to Be a Bat?,Thomas Nagel,"Nagel, Thomas",,"=""""","=""""",5,3.93,Generic,Unknown Binding,15,,1974,,2023/10/19,,,read,what it is like to be a Columbia student (not good). Am I conscious? Nuh uh. ,,,1,0
6283443,On the Harmony of Religions and Philosophy,ibn Rushd,"Rushd, ibn",Mohammed Jamil-al-Rahman,"=""1409931382""","=""9781409931386""",3,3.85,Dodo Pr,Paperback,48,2009,1198,2023/10/16,2023/10/16,,,read,,,,1,0
366583,"The Guide of the Perplexed, Vol. 1",Maimonides,"Maimonides, Maimonides","Shlomo Pines, Leo Strauss","=""0226502309""","=""9780226502304""",2,4.32,University of Chicago Press,Paperback,384,1974,1190,2023/10/16,2023/10/16,,,read,,,,1,0
25709,Summa Theologica,Thomas Aquinas,"Aquinas, Thomas",,"=""""","=""""",3,4.13,Christian Classics,Hardcover,2900,1981,1274,2023/10/16,2023/10/16,,,read,,,,1,0
75303,The Qur'an,Anonymous,"Anonymous, Anonymous",N.J. Dawood,"=""0140449205""","=""9780140449204""",3,4.38,Penguin Classics,Paperback,456,2004,632,,2023/10/15,,,read,,,,1,0
63035432,"The Chalice of the Gods (Percy Jackson and the Olympians: The Senior Year Adventures, #1)",Rick Riordan,"Riordan, Rick",,"=""1368098177""","=""9781368098175""",5,4.26,Disney Hyperion,Hardcover,288,2023,2023,2023/10/15,2023/10/05,,,read,If every TV show promotion was of this caliber I think I would get the Grrr people's references more.,,,1,0
137270220,"Godel, Escher, Bach: An Eternal Golden Braid. A Metaphorical Fugue on Minds and Machines in the Spirit of Lewis Carroll.",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""""","=""""",0,4.29,"Penguin, 1984 (1979).",Paperback,0,1984,1979,,2023/10/12,to-read,to-read (#17),to-read,,,,0,0
372299,The Hitch Hiker's Guide to the Galaxy: A Trilogy in Five Parts,Douglas Adams,"Adams, Douglas",,"=""0434003484""","=""9780434003488""",0,4.35,Heinemann,Hardcover,776,1995,1979,,2023/10/12,to-read,to-read (#16),to-read,,,,0,0
18386,The Death of Ivan Ilych,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",0,4.14,Waking Lion Press,Paperback,86,2006,1886,,2023/10/09,to-read,to-read (#15),to-read,,,,0,0
26244,A Confession,Leo Tolstoy,"Tolstoy, Leo","Leo Tolstoy, Bogdan Baran","=""1598184717""","=""9781598184716""",0,4.10,Aegypan,Paperback,108,2006,1880,,2023/10/09,to-read,to-read (#14),to-read,,,,0,0
31837,The Consolation of Philosophy,Boethius,"Boethius, Boethius",Victor  Watts,"=""0140447806""","=""9780140447804""",4,4.05,Penguin Classics,Paperback,155,1999,524,,2023/10/09,,,read,,,,1,0
30780235,The Knowledge Illusion: Why We Never Think Alone,Steven Sloman,"Sloman, Steven",Philip Fernbach,"=""039918435X""","=""9780399184352""",0,3.84,Riverhead Books,Hardcover,304,2017,2017,,2023/10/08,to-read,to-read (#13),to-read,,,,0,0
163785,The Logical Syntax of Language (Open Court Classics),Rudolf Carnap,"Carnap, Rudolf",Amethe Smeaton,"=""0812695240""","=""9780812695243""",0,4.09,Open Court,Paperback,180,2002,1934,,2023/10/05,,,read,,,,1,0
12178002,Philosophy and Scientific Realism,J.J.C. Smart,"Smart, J.J.C.",,"=""0415474973""","=""9780415474979""",0,2.60,Routledge,Hardcover,170,2008,1963,,2023/10/05,,,read,,,,1,0
25673,City of God,Augustine of Hippo,"Hippo, Augustine of",Henry Bettenson,"=""0140448942""","=""9780140448948""",4,3.95,Penguin Books Ltd,Paperback,1186,2003,426,,2023/10/05,,,read,"We collectively amount to the furniture adorning God's celestial room, and if he designs us particularly comfortably, we get to complement the drapes in Heaven.  ",,,1,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Pantheon Books,Paperback,412,2002,1988,,2023/10/03,to-read,to-read (#12),to-read,,,,0,0
31555,Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,"Ramachandran, V.S.","Sandra Blakeslee, Oliver Sacks","=""0688172172""","=""9780688172176""",0,4.27,William Morrow Paperbacks,Paperback,352,1999,1998,,2023/10/02,to-read,to-read (#11),to-read,,,,0,0
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","Hugh Tredennick, J.A.K. Thomson, Jonathan Barnes","=""0140449493""","=""9780140449495""",3,4.00,Penguin Classics,Paperback,329,2004,-350,2023/09/27,2023/09/20,,,read,belle if you're reading this I put a turtle under your mattress ,,,1,0
19083,Politics,Aristotle,"Aristotle, Aristotle",Benjamin Jowett,"=""0486414248""","=""9780486414249""",2,3.98,Dover Publications,Paperback,368,2000,-350,,2023/09/27,,,read,Not so sure about this whole slavery take,,,1,0
159772,Plato's Republic,Simon Blackburn,"Blackburn, Simon",,"=""087113957X""","=""9780871139573""",0,3.86,Atlantic Monthly Press,Hardcover,192,2007,2006,,2023/09/20,,,read,,,,1,0
30658,Meditations on First Philosophy,René Descartes,"Descartes, René",Donald A. Cress,"=""0872201929""","=""9780872201927""",0,3.73,Hackett Publishing Company,Paperback,59,1993,1641,,2023/09/13,,,read,,,,1,0
747570,"Evolution in Four Dimensions: Genetic, Epigenetic, Behavioral, And Symbolic Variation in the History of Life (Life And Mind: Philosophical Issues in Biology And Philosophy Series)",Eva Jablonka,"Jablonka, Eva","Marion J. Lamb, Anna Zeligowski","=""0262600692""","=""9780262600699""",0,4.19,Bradford Books,Paperback,462,2006,2005,,2023/09/13,to-read,to-read (#10),to-read,,,,0,0
8018107,"The Belief Instinct: The Psychology of Souls, Destiny, and the Meaning of Life",Jesse Bering,"Bering, Jesse",,"=""0393072991""","=""9780393072990""",0,4.00,W. W. Norton & Company,Hardcover,272,2011,2011,,2023/08/25,to-read,to-read (#9),to-read,,,,0,0
53487237,A Swim in a Pond in the Rain,George Saunders,"Saunders, George",,"=""1984856049""","=""9781984856043""",0,4.53,Random House,Kindle Edition,403,2021,2021,,2023/08/25,to-read,to-read (#8),to-read,,,,0,0
63028719,The Sun and the Star (The Nico di Angelo Adventures #1),Rick Riordan,"Riordan, Rick",Mark Oshiro,"=""1368081347""","=""9781368081344""",4,4.19,Disney Hyperion,Kindle Edition,480,2023,2023,,2023/08/16,,,read,I know I don’t have any friends bc if I did they would have told me a new pjo book came out,,,1,0
41150417,"The Nocturnal Brain: Nightmares, Neuroscience, and the Secret World of Sleep",Guy Leschziner,"Leschziner, Guy",,"=""1250202701""","=""9781250202703""",4,4.03,St. Martin's Press,Hardcover,368,2019,2019,,2023/07/25,,,read,I finished reading this book on my fourth to last shift at Tropical Smoothie ,,,1,0
